,dia,value
0,0,0.26720520997443076
1,1,0.5384300494569405
2,2,0.5400218569543539
3,3,0.5416136644517672
4,4,0.5432054719491806
5,5,0.5447972794465938
6,6,0.5463890869440071
7,7,0.5479808944414204
8,8,0.5495727019388338
9,9,0.5511645094362471
10,10,0.5527563169336605
11,11,0.6513784975416921
12,12,0.6529703050391054
13,13,0.6783352728254113
14,14,0.6799270803228246
15,15,0.681518887820238
16,16,0.6831106953176512
17,17,0.6847025028150645
18,18,0.7100674706013705
19,19,0.7116592780990525
20,20,0.7132510855964658
21,21,0.714842893093879
22,22,0.7164347005912923
23,23,0.7180265080887057
24,24,0.719618315586119
25,25,0.7212101230835324
26,26,0.7228019305809457
27,27,0.7243937380783589
28,28,0.7259855455757722
29,29,0.7275773530731855
30,30,0.7291691605705989
31,31,0.7307609680680123
32,32,0.7323527755654256
33,33,0.7339445830628388
34,34,0.7355363905602521
35,35,0.7371281980576654
36,36,0.7387200055550788
37,37,0.7403118130524922
38,38,0.765676780838798
39,39,0.7672685883362114
40,40,0.7688603958336246
41,41,0.7704522033310379
42,42,0.7720440108284513
43,43,0.7736358183258646
44,44,0.7752276258232779
45,45,0.776812137536328
46,46,0.7784039450337414
47,47,0.7799957525311547
48,48,0.781587560028568
49,49,0.8069525278148739
50,50,0.8085443353122873
51,51,0.8101361428097006
52,52,0.811727950307114
53,53,0.8133197578045273
54,54,0.8149115653019405
55,55,0.8165033727993538
56,56,0.8180951802967672
57,57,0.8196869877941805
58,58,0.8212787952915939
59,59,0.8228706027890071
60,60,0.8244624102864204
61,61,0.8260542177838337
62,62,0.8276460252812471
63,63,0.8292378327786604
64,64,0.8308296402760736
65,65,0.832421447773487
66,66,0.8340132552709003
67,67,0.8356050627683136
68,68,0.8371968702657269
69,69,0.8387886777631403
70,70,0.8403804852605535
71,71,0.8419722927579669
72,72,0.8435641002553802
73,73,0.8451559077527935
74,74,0.8467477152502068
75,75,0.8968547093029293
76,76,0.9222196770892352
77,77,0.9238114845866486
78,78,0.9254032920840619
79,79,0.9269950995814752
80,80,0.9285869070788886
81,81,0.9301787145763019
82,82,0.9317705220737151
83,83,0.9333623295711284
84,84,0.9349541370685418
85,85,0.9365459445659551
86,86,0.9381377520633684
87,87,0.9397295595607817
88,88,0.941321367058195
89,89,0.9429131745556083
90,90,0.9445049820530217
91,91,0.946096789550435
92,92,0.9476885970478482
93,93,0.9492804045452616
94,94,0.9746453723315676
95,95,0.9762371798289808
96,96,0.9778289873263941
97,97,0.9794207948238074
98,98,0.9810126023212209
99,99,0.9826044098186342
