,camion,dia,comuna,value
220,0,20,Putre,0.0
221,0,21,Putre,0.0
222,0,22,Putre,0.0
223,0,23,Putre,0.0
224,0,24,Putre,0.0
225,0,25,Putre,0.0
226,0,26,Putre,0.0
227,0,27,Putre,0.0
228,0,28,Putre,0.0
229,0,29,Putre,0.0
230,0,30,Putre,0.0
231,0,31,Putre,0.0
232,0,32,Putre,0.0
233,0,33,Putre,0.0
234,0,34,Putre,0.0
235,0,35,Putre,0.0
236,0,36,Putre,0.0
237,0,37,Putre,0.0
238,0,38,Putre,0.0
239,0,39,Putre,0.0
240,0,40,Putre,0.0
241,0,41,Putre,0.0
242,0,42,Putre,0.0
243,0,43,Putre,0.0
244,0,44,Putre,0.0
245,0,45,Putre,0.0
246,0,46,Putre,0.0
247,0,47,Putre,0.0
248,0,48,Putre,0.0
249,0,49,Putre,0.0
250,0,50,Putre,0.0
251,0,51,Putre,0.0
252,0,52,Putre,0.0
253,0,53,Putre,0.0
254,0,54,Putre,0.0
255,0,55,Putre,0.0
256,0,56,Putre,0.0
257,0,57,Putre,0.0
258,0,58,Putre,0.0
259,0,59,Putre,0.0
260,0,60,Putre,0.0
261,0,61,Putre,0.0
262,0,62,Putre,0.0
263,0,63,Putre,0.0
264,0,64,Putre,0.0
265,0,65,Putre,0.0
266,0,66,Putre,0.0
267,0,67,Putre,0.0
268,0,68,Putre,0.0
269,0,69,Putre,0.0
270,0,70,Putre,0.0
271,0,71,Putre,0.0
272,0,72,Putre,0.0
273,0,73,Putre,0.0
274,0,74,Putre,0.0
275,0,75,Putre,0.0
276,0,76,Putre,0.0
277,0,77,Putre,0.0
278,0,78,Putre,0.0
279,0,79,Putre,0.0
280,0,80,Putre,0.0
281,0,81,Putre,0.0
282,0,82,Putre,0.0
283,0,83,Putre,0.0
284,0,84,Putre,0.0
285,0,85,Putre,0.0
286,0,86,Putre,0.0
287,0,87,Putre,0.0
288,0,88,Putre,0.0
289,0,89,Putre,0.0
290,0,90,Putre,0.0
291,0,91,Putre,0.0
292,0,92,Putre,0.0
293,0,93,Putre,0.0
294,0,94,Putre,0.0
295,0,95,Putre,0.0
296,0,96,Putre,0.0
297,0,97,Putre,0.0
298,0,98,Putre,0.0
299,0,99,Putre,0.0
300,0,0,General Lagos,0.0
301,0,1,General Lagos,0.0
302,0,2,General Lagos,0.0
303,0,3,General Lagos,0.0
304,0,4,General Lagos,0.0
305,0,5,General Lagos,0.0
306,0,6,General Lagos,0.0
307,0,7,General Lagos,0.0
308,0,8,General Lagos,0.0
309,0,9,General Lagos,0.0
310,0,10,General Lagos,0.0
311,0,11,General Lagos,0.0
312,0,12,General Lagos,0.0
313,0,13,General Lagos,0.0
314,0,14,General Lagos,0.0
315,0,15,General Lagos,0.0
316,0,16,General Lagos,0.0
317,0,17,General Lagos,0.0
318,0,18,General Lagos,0.0
319,0,19,General Lagos,0.0
320,0,20,General Lagos,0.0
321,0,21,General Lagos,0.0
322,0,22,General Lagos,0.0
323,0,23,General Lagos,0.0
324,0,24,General Lagos,0.0
325,0,25,General Lagos,0.0
326,0,26,General Lagos,0.0
327,0,27,General Lagos,0.0
328,0,28,General Lagos,0.0
329,0,29,General Lagos,0.0
330,0,30,General Lagos,0.0
331,0,31,General Lagos,0.0
332,0,32,General Lagos,0.0
333,0,33,General Lagos,0.0
334,0,34,General Lagos,0.0
335,0,35,General Lagos,0.0
336,0,36,General Lagos,0.0
337,0,37,General Lagos,0.0
338,0,38,General Lagos,0.0
339,0,39,General Lagos,0.0
340,0,40,General Lagos,0.0
341,0,41,General Lagos,0.0
342,0,42,General Lagos,0.0
343,0,43,General Lagos,0.0
344,0,44,General Lagos,0.0
345,0,45,General Lagos,0.0
346,0,46,General Lagos,0.0
347,0,47,General Lagos,0.0
348,0,48,General Lagos,0.0
349,0,49,General Lagos,0.0
350,0,50,General Lagos,0.0
351,0,51,General Lagos,0.0
352,0,52,General Lagos,0.0
353,0,53,General Lagos,0.0
354,0,54,General Lagos,0.0
355,0,55,General Lagos,0.0
356,0,56,General Lagos,0.0
357,0,57,General Lagos,0.0
358,0,58,General Lagos,0.0
359,0,59,General Lagos,0.0
360,0,60,General Lagos,0.0
361,0,61,General Lagos,0.0
362,0,62,General Lagos,0.0
363,0,63,General Lagos,0.0
364,0,64,General Lagos,0.0
365,0,65,General Lagos,0.0
366,0,66,General Lagos,0.0
367,0,67,General Lagos,0.0
368,0,68,General Lagos,0.0
369,0,69,General Lagos,0.0
370,0,70,General Lagos,0.0
371,0,71,General Lagos,0.0
372,0,72,General Lagos,0.0
373,0,73,General Lagos,0.0
374,0,74,General Lagos,0.0
375,0,75,General Lagos,0.0
376,0,76,General Lagos,0.0
377,0,77,General Lagos,0.0
378,0,78,General Lagos,0.0
379,0,79,General Lagos,0.0
380,0,80,General Lagos,0.0
381,0,81,General Lagos,0.0
382,0,82,General Lagos,0.0
383,0,83,General Lagos,0.0
384,0,84,General Lagos,0.0
385,0,85,General Lagos,0.0
386,0,86,General Lagos,0.0
387,0,87,General Lagos,0.0
388,0,88,General Lagos,0.0
389,0,89,General Lagos,0.0
390,0,90,General Lagos,0.0
391,0,91,General Lagos,0.0
392,0,92,General Lagos,0.0
393,0,93,General Lagos,0.0
394,0,94,General Lagos,0.0
395,0,95,General Lagos,0.0
396,0,96,General Lagos,0.0
397,0,97,General Lagos,0.0
398,0,98,General Lagos,0.0
399,0,99,General Lagos,0.0
400,1,0,Arica,0.0
401,1,1,Arica,1.0
402,1,2,Arica,1.0
403,1,3,Arica,1.0
404,1,4,Arica,1.0
405,1,5,Arica,1.0
406,1,6,Arica,1.0
407,1,7,Arica,1.0
408,1,8,Arica,1.0
409,1,9,Arica,1.0
410,1,10,Arica,0.0
411,1,11,Arica,1.0
412,1,12,Arica,0.0
413,1,13,Arica,1.0
414,1,14,Arica,1.0
415,1,15,Arica,1.0
416,1,16,Arica,1.0
417,1,17,Arica,1.0
418,1,18,Arica,1.0
419,1,19,Arica,1.0
420,1,20,Arica,1.0
421,1,21,Arica,1.0
422,1,22,Arica,1.0
423,1,23,Arica,1.0
424,1,24,Arica,1.0
425,1,25,Arica,1.0
426,1,26,Arica,1.0
427,1,27,Arica,1.0
428,1,28,Arica,1.0
429,1,29,Arica,1.0
430,1,30,Arica,1.0
431,1,31,Arica,1.0
432,1,32,Arica,1.0
433,1,33,Arica,1.0
434,1,34,Arica,1.0
435,1,35,Arica,1.0
436,1,36,Arica,1.0
437,1,37,Arica,0.0
438,1,38,Arica,1.0
439,1,39,Arica,1.0
440,1,40,Arica,1.0
441,1,41,Arica,1.0
442,1,42,Arica,1.0
443,1,43,Arica,1.0
444,1,44,Arica,1.0
445,1,45,Arica,1.0
446,1,46,Arica,1.0
447,1,47,Arica,1.0
448,1,48,Arica,0.0
449,1,49,Arica,1.0
450,1,50,Arica,1.0
451,1,51,Arica,1.0
452,1,52,Arica,1.0
453,1,53,Arica,1.0
454,1,54,Arica,1.0
455,1,55,Arica,1.0
456,1,56,Arica,1.0
457,1,57,Arica,1.0
458,1,58,Arica,1.0
459,1,59,Arica,1.0
460,1,60,Arica,1.0
461,1,61,Arica,1.0
462,1,62,Arica,1.0
463,1,63,Arica,1.0
464,1,64,Arica,1.0
465,1,65,Arica,1.0
466,1,66,Arica,1.0
467,1,67,Arica,1.0
468,1,68,Arica,1.0
469,1,69,Arica,1.0
470,1,70,Arica,1.0
471,1,71,Arica,1.0
472,1,72,Arica,1.0
473,1,73,Arica,1.0
474,1,74,Arica,1.0
475,1,75,Arica,0.0
476,1,76,Arica,1.0
477,1,77,Arica,1.0
478,1,78,Arica,1.0
479,1,79,Arica,1.0
480,1,80,Arica,1.0
481,1,81,Arica,1.0
482,1,82,Arica,1.0
483,1,83,Arica,1.0
484,1,84,Arica,1.0
485,1,85,Arica,1.0
486,1,86,Arica,1.0
487,1,87,Arica,1.0
488,1,88,Arica,1.0
489,1,89,Arica,1.0
490,1,90,Arica,1.0
491,1,91,Arica,1.0
492,1,92,Arica,1.0
493,1,93,Arica,1.0
494,1,94,Arica,1.0
495,1,95,Arica,1.0
496,1,96,Arica,1.0
497,1,97,Arica,1.0
498,1,98,Arica,1.0
499,1,99,Arica,1.0
500,1,0,Camarones,0.0
501,1,1,Camarones,0.0
502,1,2,Camarones,0.0
503,1,3,Camarones,0.0
504,1,4,Camarones,0.0
505,1,5,Camarones,0.0
506,1,6,Camarones,0.0
507,1,7,Camarones,0.0
508,1,8,Camarones,0.0
509,1,9,Camarones,0.0
510,1,10,Camarones,1.0
511,1,11,Camarones,0.0
512,1,12,Camarones,0.0
513,1,13,Camarones,0.0
514,1,14,Camarones,0.0
515,1,15,Camarones,0.0
516,1,16,Camarones,0.0
