,dia,comuna,value
248,48,Putre,400.0
249,49,Putre,0.0
250,50,Putre,0.0
251,51,Putre,0.0
252,52,Putre,0.0
253,53,Putre,0.0
254,54,Putre,0.0
255,55,Putre,0.0
256,56,Putre,0.0
257,57,Putre,0.0
258,58,Putre,0.0
259,59,Putre,0.0
260,60,Putre,0.0
261,61,Putre,0.0
262,62,Putre,0.0
263,63,Putre,0.0
264,64,Putre,0.0
265,65,Putre,0.0
266,66,Putre,0.0
267,67,Putre,0.0
268,68,Putre,0.0
269,69,Putre,0.0
270,70,Putre,0.0
271,71,Putre,0.0
272,72,Putre,0.0
273,73,Putre,0.0
274,74,Putre,0.0
275,75,Putre,400.0
276,76,Putre,0.0
277,77,Putre,0.0
278,78,Putre,0.0
279,79,Putre,0.0
280,80,Putre,0.0
281,81,Putre,0.0
282,82,Putre,0.0
283,83,Putre,0.0
284,84,Putre,0.0
285,85,Putre,0.0
286,86,Putre,0.0
287,87,Putre,0.0
288,88,Putre,0.0
289,89,Putre,0.0
290,90,Putre,0.0
291,91,Putre,0.0
292,92,Putre,0.0
293,93,Putre,400.0
294,94,Putre,0.0
295,95,Putre,0.0
296,96,Putre,0.0
297,97,Putre,0.0
298,98,Putre,0.0
299,99,Putre,0.0
300,0,General Lagos,1200.0
301,1,General Lagos,0.0
302,2,General Lagos,0.0
303,3,General Lagos,0.0
304,4,General Lagos,0.0
305,5,General Lagos,0.0
306,6,General Lagos,0.0
307,7,General Lagos,0.0
308,8,General Lagos,0.0
309,9,General Lagos,0.0
310,10,General Lagos,0.0
311,11,General Lagos,0.0
312,12,General Lagos,0.0
313,13,General Lagos,0.0
314,14,General Lagos,0.0
315,15,General Lagos,0.0
316,16,General Lagos,0.0
317,17,General Lagos,0.0
318,18,General Lagos,0.0
319,19,General Lagos,0.0
320,20,General Lagos,0.0
321,21,General Lagos,0.0
322,22,General Lagos,0.0
323,23,General Lagos,0.0
324,24,General Lagos,0.0
325,25,General Lagos,0.0
326,26,General Lagos,0.0
327,27,General Lagos,0.0
328,28,General Lagos,0.0
329,29,General Lagos,0.0
330,30,General Lagos,0.0
331,31,General Lagos,0.0
332,32,General Lagos,0.0
333,33,General Lagos,0.0
334,34,General Lagos,0.0
335,35,General Lagos,0.0
336,36,General Lagos,0.0
337,37,General Lagos,0.0
338,38,General Lagos,0.0
339,39,General Lagos,0.0
340,40,General Lagos,0.0
341,41,General Lagos,0.0
342,42,General Lagos,0.0
343,43,General Lagos,0.0
344,44,General Lagos,0.0
345,45,General Lagos,0.0
346,46,General Lagos,0.0
347,47,General Lagos,0.0
348,48,General Lagos,0.0
349,49,General Lagos,0.0
350,50,General Lagos,0.0
351,51,General Lagos,0.0
352,52,General Lagos,0.0
353,53,General Lagos,0.0
354,54,General Lagos,0.0
355,55,General Lagos,0.0
356,56,General Lagos,0.0
357,57,General Lagos,0.0
358,58,General Lagos,0.0
359,59,General Lagos,0.0
360,60,General Lagos,0.0
361,61,General Lagos,0.0
362,62,General Lagos,0.0
363,63,General Lagos,0.0
364,64,General Lagos,0.0
365,65,General Lagos,0.0
366,66,General Lagos,0.0
367,67,General Lagos,0.0
368,68,General Lagos,0.0
369,69,General Lagos,0.0
370,70,General Lagos,0.0
371,71,General Lagos,0.0
372,72,General Lagos,0.0
373,73,General Lagos,0.0
374,74,General Lagos,0.0
375,75,General Lagos,0.0
376,76,General Lagos,0.0
377,77,General Lagos,0.0
378,78,General Lagos,0.0
379,79,General Lagos,0.0
380,80,General Lagos,0.0
381,81,General Lagos,0.0
382,82,General Lagos,0.0
383,83,General Lagos,0.0
384,84,General Lagos,0.0
385,85,General Lagos,0.0
386,86,General Lagos,0.0
387,87,General Lagos,0.0
388,88,General Lagos,0.0
389,89,General Lagos,0.0
390,90,General Lagos,0.0
391,91,General Lagos,0.0
392,92,General Lagos,0.0
393,93,General Lagos,0.0
394,94,General Lagos,0.0
395,95,General Lagos,0.0
396,96,General Lagos,0.0
397,97,General Lagos,0.0
398,98,General Lagos,0.0
399,99,General Lagos,0.0
