,dia,comuna,value
0,0,Arica,0.4134352308988177
1,1,Arica,0.4134352308988177
2,2,Arica,0.4134352308988177
3,3,Arica,0.4134352308988177
4,4,Arica,0.4134352308988177
5,5,Arica,0.4134352308988177
6,6,Arica,0.4134352308988177
7,7,Arica,0.4134352308988177
8,8,Arica,0.4134352308988177
9,9,Arica,0.4134352308988177
10,10,Arica,0.4134352308988177
11,11,Arica,0.4134352308988177
12,12,Arica,0.4134352308988177
13,13,Arica,0.4134352308988177
14,14,Arica,0.4134352308988177
15,15,Arica,0.4134352308988177
16,16,Arica,0.4134352308988177
17,17,Arica,0.4134352308988177
18,18,Arica,0.4134352308988177
19,19,Arica,0.4134352308988177
20,20,Arica,0.4134352308988177
21,21,Arica,0.4134352308988177
22,22,Arica,0.4134352308988177
23,23,Arica,0.4134352308988177
24,24,Arica,0.4134352308988177
25,25,Arica,0.4134352308988177
26,26,Arica,0.4134352308988177
27,27,Arica,0.4134352308988177
28,28,Arica,0.4134352308988177
29,29,Arica,0.4134352308988177
30,30,Arica,0.4134352308988177
31,31,Arica,0.4134352308988177
32,32,Arica,0.4134352308988177
33,33,Arica,0.4134352308988177
34,34,Arica,0.4134352308988177
35,35,Arica,0.4134352308988177
36,36,Arica,0.4134352308988177
37,37,Arica,0.4134352308988177
38,38,Arica,0.4134352308988177
39,39,Arica,0.4134352308988177
40,40,Arica,0.4134352308988177
41,41,Arica,0.4134352308988177
42,42,Arica,0.4134352308988177
43,43,Arica,0.4134352308988177
44,44,Arica,0.4134352308988177
45,45,Arica,0.4134352308988177
46,46,Arica,0.4134352308988177
47,47,Arica,0.4134352308988177
48,48,Arica,0.4134352308988177
49,49,Arica,0.4134352308988177
50,0,Camarones,0.8148867313915857
51,1,Camarones,0.8148867313915857
52,2,Camarones,0.8148867313915857
53,3,Camarones,0.8148867313915857
54,4,Camarones,0.8148867313915857
55,5,Camarones,0.8148867313915857
56,6,Camarones,0.8148867313915857
57,7,Camarones,0.8148867313915857
58,8,Camarones,0.8148867313915857
59,9,Camarones,0.8148867313915857
60,10,Camarones,0.8148867313915857
61,11,Camarones,0.8148867313915857
62,12,Camarones,0.8148867313915857
63,13,Camarones,0.8148867313915857
64,14,Camarones,0.8148867313915857
65,15,Camarones,0.8148867313915857
66,16,Camarones,0.8148867313915857
67,17,Camarones,0.8148867313915857
68,18,Camarones,0.8148867313915857
69,19,Camarones,0.8148867313915857
70,20,Camarones,0.8148867313915857
71,21,Camarones,0.8148867313915857
72,22,Camarones,0.8148867313915857
73,23,Camarones,0.8148867313915857
74,24,Camarones,0.8148867313915857
75,25,Camarones,0.8148867313915857
76,26,Camarones,0.8148867313915857
77,27,Camarones,0.8148867313915857
78,28,Camarones,0.8148867313915857
79,29,Camarones,0.8148867313915857
80,30,Camarones,0.8148867313915857
81,31,Camarones,0.8148867313915857
82,32,Camarones,0.8148867313915857
83,33,Camarones,0.8148867313915857
84,34,Camarones,0.8148867313915857
85,35,Camarones,0.8148867313915857
86,36,Camarones,0.8148867313915857
87,37,Camarones,0.8148867313915857
88,38,Camarones,0.8148867313915857
89,39,Camarones,0.8148867313915857
90,40,Camarones,0.8148867313915857
91,41,Camarones,0.8148867313915857
92,42,Camarones,0.8148867313915857
93,43,Camarones,0.8148867313915857
94,44,Camarones,0.8148867313915857
95,45,Camarones,0.8148867313915857
96,46,Camarones,0.8148867313915857
97,47,Camarones,0.8148867313915857
98,48,Camarones,0.8148867313915857
99,49,Camarones,0.8148867313915857
100,0,Putre,0.14077066500932256
101,1,Putre,0.14077066500932256
102,2,Putre,0.14077066500932256
103,3,Putre,0.2947482908638906
104,4,Putre,0.2947482908638906
105,5,Putre,0.2947482908638906
106,6,Putre,0.2947482908638906
107,7,Putre,0.2947482908638906
108,8,Putre,0.2947482908638906
109,9,Putre,0.2947482908638906
110,10,Putre,0.2947482908638906
111,11,Putre,0.2947482908638906
112,12,Putre,0.2947482908638906
113,13,Putre,0.2947482908638906
114,14,Putre,0.2947482908638906
115,15,Putre,0.2947482908638906
116,16,Putre,0.2947482908638906
117,17,Putre,0.2947482908638906
118,18,Putre,0.2947482908638906
119,19,Putre,0.2947482908638906
120,20,Putre,0.29474829086389065
121,21,Putre,0.29474829086389065
122,22,Putre,0.29474829086389065
123,23,Putre,0.29474829086389065
124,24,Putre,0.29474829086389065
125,25,Putre,0.29474829086389065
126,26,Putre,0.29474829086389065
127,27,Putre,0.29474829086389065
128,28,Putre,0.29474829086389065
129,29,Putre,0.29474829086389065
130,30,Putre,0.29474829086389065
131,31,Putre,0.29474829086389065
132,32,Putre,0.29474829086389065
133,33,Putre,0.29474829086389065
134,34,Putre,0.29474829086389065
