,dia,comuna,value
0,0,Arica,0.3547264352752992
1,1,Arica,0.3547264352752992
2,2,Arica,0.3547264352752992
3,3,Arica,0.3547264352752992
4,4,Arica,0.3547264352752992
5,5,Arica,0.3547264352752992
6,6,Arica,0.3547264352752992
7,7,Arica,0.3547264352752992
8,8,Arica,0.3547264352752992
9,9,Arica,0.3547264352752992
10,10,Arica,0.3547264352752992
11,11,Arica,0.3547264352752992
12,12,Arica,0.3547264352752992
13,13,Arica,0.3547264352752992
14,14,Arica,0.3547264352752992
15,15,Arica,0.3547264352752992
16,16,Arica,0.3547264352752992
17,17,Arica,0.3547264352752992
18,18,Arica,0.3547264352752992
19,19,Arica,0.3547264352752992
20,20,Arica,0.3547264352752992
21,21,Arica,0.3547264352752992
22,22,Arica,0.3547264352752992
23,23,Arica,0.3547264352752992
24,24,Arica,0.3547264352752992
25,25,Arica,0.3547264352752992
26,26,Arica,0.3547264352752992
27,27,Arica,0.3547264352752992
28,28,Arica,0.3547264352752992
29,29,Arica,0.3547264352752992
30,30,Arica,0.3547264352752992
31,31,Arica,0.3547264352752992
32,32,Arica,0.3547264352752992
33,33,Arica,0.3547264352752992
34,34,Arica,0.3547264352752992
35,35,Arica,0.3547264352752992
36,36,Arica,0.3547264352752992
37,37,Arica,0.3547264352752992
38,38,Arica,0.3547264352752992
39,39,Arica,0.3547264352752992
40,40,Arica,0.3547264352752992
41,41,Arica,0.3547264352752992
42,42,Arica,0.3547264352752992
43,43,Arica,0.3547264352752992
44,44,Arica,0.3547264352752992
45,45,Arica,0.3547264352752992
46,0,Camarones,0.17269187986651835
47,1,Camarones,0.47636262513904337
48,2,Camarones,0.47636262513904337
49,3,Camarones,0.47636262513904337
50,4,Camarones,0.47636262513904337
51,5,Camarones,0.4763626251390629
52,6,Camarones,0.476362625139074
53,7,Camarones,0.47636262513908556
54,8,Camarones,0.47636262513910066
55,9,Camarones,0.47636262513911976
56,10,Camarones,0.47636262513914174
57,11,Camarones,0.47636262513916594
58,12,Camarones,0.47636262513918814
59,13,Camarones,0.47636262513921124
60,14,Camarones,0.4763626251392321
61,15,Camarones,0.4763626251392672
62,16,Camarones,0.4763626251393074
63,17,Camarones,0.47636262513933736
64,18,Camarones,0.4763626251393729
65,19,Camarones,0.47636262513941907
66,20,Camarones,0.47636262513924005
67,21,Camarones,0.47636262513924005
68,22,Camarones,0.47636262513924005
69,23,Camarones,0.47636262513924005
70,24,Camarones,0.476362625139259
71,25,Camarones,0.47636262513926964
72,26,Camarones,0.47636262513928074
73,27,Camarones,0.47636262513929606
74,28,Camarones,0.4763626251393154
75,29,Camarones,0.4763626251393376
76,30,Camarones,0.4763626251393609
77,31,Camarones,0.476362625139384
78,32,Camarones,0.4763626251394064
79,33,Camarones,0.47636262513942795
80,34,Camarones,0.47636262513946304
81,35,Camarones,0.47636262513950434
82,36,Camarones,0.4763626251395332
83,37,Camarones,0.47636262513956873
84,38,Camarones,0.4763626251396149
85,39,Camarones,0.4763626251394358
86,40,Camarones,0.4763626251394358
87,41,Camarones,0.4763626251394358
88,42,Camarones,0.4763626251394358
89,43,Camarones,0.4763626251394548
90,44,Camarones,0.4763626251394657
91,45,Camarones,0.4763626251394358
92,0,Putre,0.08477256142057893
93,1,Putre,0.08477256142057893
94,2,Putre,0.08477256142057893
95,3,Putre,0.08477256142057893
96,4,Putre,0.08477256142057893
97,5,Putre,0.08477256142057893
98,6,Putre,0.08477256142057893
99,7,Putre,0.08477256142057893
100,8,Putre,0.08477256142057893
101,9,Putre,0.08477256142057893
102,10,Putre,0.08477256142057893
103,11,Putre,0.08477256142057893
104,12,Putre,0.08477256142057893
105,13,Putre,0.08477256142057893
106,14,Putre,0.08477256142057893
107,15,Putre,0.08477256142057893
108,16,Putre,0.08477256142057893
109,17,Putre,0.08477256142057893
110,18,Putre,0.08477256142057893
111,19,Putre,0.08477256142057893
112,20,Putre,0.08477256142057893
113,21,Putre,0.08477256142057893
114,22,Putre,0.08477256142057893
115,23,Putre,0.08477256142057893
116,24,Putre,0.08477256142057893
117,25,Putre,0.08477256142057893
118,26,Putre,0.08477256142057893
119,27,Putre,0.08477256142057893
120,28,Putre,0.08477256142057893
121,29,Putre,0.08477256142057893
122,30,Putre,0.08477256142057893
123,31,Putre,0.08477256142057893
124,32,Putre,0.08477256142057893
125,33,Putre,0.08477256142057893
126,34,Putre,0.08477256142057893
127,35,Putre,0.08477256142057893
128,36,Putre,0.08477256142057893
129,37,Putre,0.08477256142057893
130,38,Putre,0.08477256142057893
131,39,Putre,0.08477256142057893
132,40,Putre,0.08477256142057893
133,41,Putre,0.08477256142057893
134,42,Putre,0.08477256142057893
135,43,Putre,0.08477256142057893
136,44,Putre,0.08477256142057893
137,45,Putre,0.08477256142061967
138,0,General Lagos,0.15420835785756326
139,1,General Lagos,0.15420835785756326
140,2,General Lagos,0.4755738669805768
141,3,General Lagos,0.4755738669805768
142,4,General Lagos,0.4755738669805768
143,5,General Lagos,0.4755738669805768
144,6,General Lagos,0.4755738669805768
145,7,General Lagos,0.4755738669805768
146,8,General Lagos,0.4755738669805768
147,9,General Lagos,0.4755738669805768
148,10,General Lagos,0.4755738669805768
149,11,General Lagos,0.4755738669805768
150,12,General Lagos,0.4755738669805768
151,13,General Lagos,0.4755738669805768
152,14,General Lagos,0.4755738669805768
153,15,General Lagos,0.4755738669805768
154,16,General Lagos,0.4755738669805768
155,17,General Lagos,0.4755738669805768
156,18,General Lagos,0.4755738669805768
157,19,General Lagos,0.4755738669805768
158,20,General Lagos,0.475573866980809
