,dia,comuna,value
0,0,Arica,-0.0
1,1,Arica,-0.0
2,2,Arica,-0.0
3,3,Arica,-0.0
4,4,Arica,-0.0
5,5,Arica,-0.0
6,6,Arica,-0.0
7,7,Arica,-0.0
8,8,Arica,-0.0
9,9,Arica,-0.0
10,10,Arica,-0.0
11,11,Arica,-0.0
12,12,Arica,-0.0
13,13,Arica,-0.0
14,14,Arica,-0.0
15,15,Arica,-0.0
16,16,Arica,-0.0
17,17,Arica,-0.0
18,18,Arica,-0.0
19,19,Arica,-0.0
20,20,Arica,-0.0
21,21,Arica,-0.0
22,22,Arica,-0.0
23,23,Arica,-0.0
24,24,Arica,-0.0
25,25,Arica,-0.0
26,26,Arica,-0.0
27,27,Arica,-0.0
28,28,Arica,-0.0
29,29,Arica,826.0
30,30,Arica,-0.0
31,31,Arica,-0.0
32,32,Arica,-0.0
33,33,Arica,-0.0
34,34,Arica,-0.0
35,35,Arica,-0.0
36,36,Arica,-0.0
37,37,Arica,-0.0
38,38,Arica,-0.0
39,39,Arica,-0.0
40,40,Arica,-0.0
41,41,Arica,-0.0
42,42,Arica,-0.0
43,43,Arica,-0.0
44,44,Arica,-0.0
45,45,Arica,-0.0
46,46,Arica,1652.0
47,47,Arica,-0.0
48,48,Arica,-0.0
49,49,Arica,-0.0
50,50,Arica,-0.0
51,51,Arica,-0.0
52,52,Arica,-0.0
53,53,Arica,-0.0
54,54,Arica,-0.0
55,55,Arica,-0.0
56,56,Arica,-0.0
57,57,Arica,-0.0
58,58,Arica,-0.0
59,59,Arica,-0.0
60,60,Arica,-0.0
61,61,Arica,1652.0
62,62,Arica,-0.0
63,63,Arica,-0.0
64,64,Arica,-0.0
65,65,Arica,-0.0
66,66,Arica,-0.0
67,67,Arica,-0.0
68,68,Arica,-0.0
69,69,Arica,-0.0
70,70,Arica,-0.0
71,71,Arica,-0.0
72,72,Arica,-0.0
73,73,Arica,-0.0
74,74,Arica,-0.0
75,75,Arica,-0.0
76,76,Arica,198.0
77,77,Arica,-0.0
78,78,Arica,-0.0
79,79,Arica,-0.0
80,80,Arica,-0.0
81,81,Arica,-0.0
82,82,Arica,-0.0
83,83,Arica,-0.0
84,84,Arica,-0.0
85,85,Arica,-0.0
86,86,Arica,-0.0
87,87,Arica,-0.0
88,88,Arica,-0.0
89,89,Arica,-0.0
90,90,Arica,-0.0
91,91,Arica,-0.0
92,92,Arica,-0.0
93,93,Arica,-0.0
94,94,Arica,-0.0
95,95,Arica,-0.0
96,96,Arica,-0.0
97,97,Arica,-0.0
98,98,Arica,-0.0
99,99,Arica,-0.0
100,100,Arica,-0.0
101,101,Arica,-0.0
102,102,Arica,-0.0
103,103,Arica,-0.0
104,104,Arica,-0.0
105,105,Arica,-0.0
106,106,Arica,-0.0
107,107,Arica,-0.0
108,0,Camarones,0.0
109,1,Camarones,-0.0
110,2,Camarones,-0.0
111,3,Camarones,-0.0
112,4,Camarones,-0.0
113,5,Camarones,-0.0
114,6,Camarones,-0.0
115,7,Camarones,-0.0
116,8,Camarones,-0.0
117,9,Camarones,-0.0
118,10,Camarones,-0.0
119,11,Camarones,-0.0
120,12,Camarones,-0.0
121,13,Camarones,0.0
122,14,Camarones,-0.0
123,15,Camarones,-0.0
124,16,Camarones,-0.0
125,17,Camarones,-0.0
126,18,Camarones,-0.0
127,19,Camarones,-0.0
128,20,Camarones,-0.0
129,21,Camarones,-0.0
130,22,Camarones,-0.0
131,23,Camarones,-0.0
132,24,Camarones,-0.0
133,25,Camarones,-0.0
134,26,Camarones,-0.0
135,27,Camarones,-0.0
136,28,Camarones,-0.0
137,29,Camarones,-0.0
138,30,Camarones,-0.0
139,31,Camarones,-0.0
140,32,Camarones,-0.0
141,33,Camarones,-0.0
142,34,Camarones,-0.0
143,35,Camarones,-0.0
144,36,Camarones,-0.0
145,37,Camarones,-0.0
146,38,Camarones,-0.0
147,39,Camarones,-0.0
148,40,Camarones,-0.0
149,41,Camarones,-0.0
150,42,Camarones,-0.0
151,43,Camarones,-0.0
152,44,Camarones,-0.0
153,45,Camarones,-0.0
154,46,Camarones,-0.0
155,47,Camarones,-0.0
156,48,Camarones,-0.0
157,49,Camarones,-0.0
158,50,Camarones,-0.0
159,51,Camarones,-0.0
160,52,Camarones,-0.0
161,53,Camarones,-0.0
162,54,Camarones,-0.0
163,55,Camarones,-0.0
164,56,Camarones,-0.0
165,57,Camarones,-0.0
166,58,Camarones,-0.0
167,59,Camarones,-0.0
168,60,Camarones,-0.0
169,61,Camarones,-0.0
170,62,Camarones,-0.0
171,63,Camarones,-0.0
172,64,Camarones,-0.0
173,65,Camarones,-0.0
174,66,Camarones,-0.0
175,67,Camarones,-0.0
176,68,Camarones,-0.0
177,69,Camarones,-0.0
