,dia,comuna,value
0,0,Arica,1.0
1,1,Arica,1.0
2,2,Arica,1.0
3,3,Arica,1.0
4,4,Arica,1.0
5,5,Arica,1.0
6,6,Arica,1.0
7,7,Arica,1.0
8,8,Arica,1.0
9,9,Arica,1.0
10,10,Arica,1.0
11,11,Arica,1.0
12,12,Arica,1.0
13,13,Arica,1.0
14,14,Arica,1.0
15,15,Arica,1.0
16,16,Arica,1.0
17,17,Arica,1.0
18,18,Arica,1.0
19,19,Arica,1.0
20,20,Arica,1.0
21,21,Arica,1.0
22,22,Arica,1.0
23,23,Arica,1.0
24,24,Arica,1.0
25,25,Arica,1.0
26,26,Arica,1.0
27,27,Arica,1.0
28,28,Arica,1.0
29,29,Arica,1.0
30,30,Arica,1.0
31,31,Arica,1.0
32,32,Arica,1.0
33,33,Arica,1.0
34,34,Arica,1.0
35,35,Arica,1.0
36,36,Arica,1.0
37,37,Arica,1.0
38,38,Arica,1.0
39,39,Arica,1.0
40,40,Arica,1.0
41,41,Arica,1.0
42,42,Arica,1.0
43,43,Arica,1.0
44,44,Arica,1.0
45,0,Camarones,0.6842435655994978
46,1,Camarones,1.0
47,2,Camarones,1.0
48,3,Camarones,1.0
49,4,Camarones,1.0
50,5,Camarones,1.0
51,6,Camarones,1.0
52,7,Camarones,1.0
53,8,Camarones,1.0
54,9,Camarones,1.0
55,10,Camarones,1.0
56,11,Camarones,1.0
57,12,Camarones,1.0
58,13,Camarones,1.0
59,14,Camarones,1.0
60,15,Camarones,1.0
61,16,Camarones,1.0
62,17,Camarones,1.0
63,18,Camarones,1.0
64,19,Camarones,1.0
65,20,Camarones,1.0
66,21,Camarones,1.0
67,22,Camarones,1.0
68,23,Camarones,1.0
69,24,Camarones,1.0
70,25,Camarones,1.0
71,26,Camarones,1.0
72,27,Camarones,1.0
73,28,Camarones,1.0
74,29,Camarones,1.0
75,30,Camarones,1.0
76,31,Camarones,1.0
77,32,Camarones,1.0
78,33,Camarones,1.0
79,34,Camarones,1.0
80,35,Camarones,1.0
81,36,Camarones,1.0
82,37,Camarones,1.0
83,38,Camarones,1.0
84,39,Camarones,1.0
85,40,Camarones,1.0
86,41,Camarones,1.0
87,42,Camarones,1.0
88,43,Camarones,1.0
89,44,Camarones,1.0
90,0,Putre,0.16797395293769424
91,1,Putre,0.2689063193725026
92,2,Putre,0.2689063193725026
93,3,Putre,0.2689063193725026
94,4,Putre,0.26890631937249765
95,5,Putre,0.26890631937249765
96,6,Putre,0.26890631937249765
97,7,Putre,0.26890631937249765
98,8,Putre,0.26890631937249765
99,9,Putre,0.26890631937249765
100,10,Putre,0.26890631937249765
101,11,Putre,0.26890631937249765
102,12,Putre,0.26890631937249765
103,13,Putre,0.26890631937249765
104,14,Putre,0.26890631937249765
105,15,Putre,0.26890631937249765
106,16,Putre,0.26890631937249765
107,17,Putre,0.26890631937249765
108,18,Putre,0.26890631937249765
109,19,Putre,0.26890631937249765
110,20,Putre,0.26890631937250253
111,21,Putre,0.26890631937250253
112,22,Putre,0.26890631937250253
113,23,Putre,0.26890631937249854
114,24,Putre,0.26890631937249854
115,25,Putre,0.26890631937249854
116,26,Putre,0.26890631937249854
117,27,Putre,0.26890631937249854
118,28,Putre,0.26890631937249854
119,29,Putre,0.26890631937249854
120,30,Putre,0.26890631937249854
121,31,Putre,0.26890631937249854
122,32,Putre,0.26890631937249854
123,33,Putre,0.26890631937249854
124,34,Putre,0.26890631937249854
125,35,Putre,0.26890631937249854
126,36,Putre,0.26890631937249854
127,37,Putre,0.26890631937249854
128,38,Putre,0.26890631937249854
129,39,Putre,0.26890631937250237
130,40,Putre,0.26890631937250237
131,41,Putre,0.26890631937249765
132,42,Putre,0.26890631937249765
133,43,Putre,0.26890631937249765
134,44,Putre,0.26890631937249765
135,0,General Lagos,0.13191990577149587
136,1,General Lagos,0.13191990577149587
137,2,General Lagos,0.13191990577149587
138,3,General Lagos,0.13191990577149587
139,4,General Lagos,0.13191990577149587
140,5,General Lagos,0.13191990577149587
141,6,General Lagos,0.13191990577149587
142,7,General Lagos,0.13191990577149587
143,8,General Lagos,0.13191990577149587
144,9,General Lagos,0.13191990577149587
145,10,General Lagos,0.13191990577149587
146,11,General Lagos,0.13191990577149587
147,12,General Lagos,0.13191990577149587
148,13,General Lagos,0.13191990577149587
149,14,General Lagos,0.13191990577149587
150,15,General Lagos,0.13191990577149587
151,16,General Lagos,0.13191990577149587
152,17,General Lagos,0.13191990577149587
153,18,General Lagos,0.13191990577149587
154,19,General Lagos,0.13191990577149587
155,20,General Lagos,0.13191990577149587
156,21,General Lagos,0.13191990577149587
157,22,General Lagos,0.13191990577149587
158,23,General Lagos,0.13191990577149587
159,24,General Lagos,0.13191990577149587
160,25,General Lagos,0.13191990577149587
161,26,General Lagos,0.13191990577149587
162,27,General Lagos,0.13191990577149587
163,28,General Lagos,0.13191990577149587
164,29,General Lagos,0.13191990577149587
165,30,General Lagos,0.13191990577149587
166,31,General Lagos,0.13191990577149587
167,32,General Lagos,0.13191990577149587
168,33,General Lagos,0.13191990577149587
169,34,General Lagos,0.13191990577149587
170,35,General Lagos,0.13191990577149587
171,36,General Lagos,0.13191990577149587
172,37,General Lagos,0.13191990577149587
173,38,General Lagos,0.13191990577149587
174,39,General Lagos,0.13191990577149587
175,40,General Lagos,0.13191990577149587
176,41,General Lagos,0.13191990577149587
177,42,General Lagos,0.13191990577149587
178,43,General Lagos,0.13191990577149587
179,44,General Lagos,0.13191990577149587
