,comuna,dia,value
375,General Lagos,51,1.0
376,General Lagos,52,1.0
377,General Lagos,53,1.0
378,General Lagos,54,1.0
379,General Lagos,55,1.0
380,General Lagos,56,1.0
381,General Lagos,57,1.0
382,General Lagos,58,1.0
383,General Lagos,59,1.0
384,General Lagos,60,1.0
385,General Lagos,61,1.0
386,General Lagos,62,1.0
387,General Lagos,63,1.0
388,General Lagos,64,1.0
389,General Lagos,65,1.0
390,General Lagos,66,1.0
391,General Lagos,67,1.0
392,General Lagos,68,1.0
393,General Lagos,69,1.0
394,General Lagos,70,1.0
395,General Lagos,71,1.0
396,General Lagos,72,1.0
397,General Lagos,73,1.0
398,General Lagos,74,1.0
399,General Lagos,75,1.0
400,General Lagos,76,1.0
401,General Lagos,77,1.0
402,General Lagos,78,1.0
403,General Lagos,79,1.0
404,General Lagos,80,1.0
405,General Lagos,81,1.0
406,General Lagos,82,1.0
407,General Lagos,83,1.0
408,General Lagos,84,1.0
409,General Lagos,85,1.0
410,General Lagos,86,1.0
411,General Lagos,87,1.0
412,General Lagos,88,1.0
413,General Lagos,89,1.0
414,General Lagos,90,1.0
415,General Lagos,91,1.0
416,General Lagos,92,1.0
417,General Lagos,93,1.0
418,General Lagos,94,1.0
419,General Lagos,95,1.0
420,General Lagos,96,1.0
421,General Lagos,97,1.0
422,General Lagos,98,1.0
423,General Lagos,99,1.0
424,General Lagos,100,1.0
425,General Lagos,101,1.0
426,General Lagos,102,1.0
427,General Lagos,103,1.0
428,General Lagos,104,1.0
429,General Lagos,105,1.0
430,General Lagos,106,1.0
431,General Lagos,107,1.0
