,dia,value
0,0,0.26720520997443076
1,1,0.2859114118622167
2,2,0.329068129772835
3,3,0.3659428797442604
4,4,0.3661418556814371
5,5,0.36634083161861375
6,6,0.3665398075557904
7,7,0.36673878349296707
8,8,0.36693775943014373
9,9,0.3671367353673204
10,10,0.37327900137672015
11,11,0.37347797731389687
12,12,0.38853517843163143
13,13,0.38873415436880804
14,14,0.3889331303059847
15,15,0.3891321062431614
16,16,0.3893310821803381
17,17,0.38953005811751473
18,18,0.3897290340546914
19,19,0.38992800999186805
20,20,0.3901269859290447
21,21,0.39032596186622137
22,22,0.39052493780339803
23,23,0.3907239137405747
24,24,0.39092288967775135
25,25,0.391121865614928
26,26,0.39132084155210467
27,27,0.39151981748928133
28,28,0.39171879342645805
29,29,0.3919177693636347
30,30,0.39211674530081136
31,31,0.392315721237988
32,32,0.3925146971751647
33,33,0.39271367311234134
34,34,0.392912649049518
35,35,0.3931116249866947
36,36,0.3933106009238714
37,37,0.39350957686104804
38,38,0.3937085527982247
39,39,0.39390752873540136
40,40,0.394106504672578
41,41,0.3943054806097547
42,42,0.39450445654693134
43,43,0.394703432484108
44,44,0.39490240842128466
45,45,0.3951013843584613
46,46,0.395300360295638
47,47,0.3954993362328147
48,48,0.39569831216999135
49,49,0.395897288107168
50,50,0.39609626404434467
51,51,0.39629523998152133
52,52,0.396494215918698
53,53,0.39669319185587465
54,54,0.40295656611246483
55,55,0.40612718708575307
56,56,0.40632616302292973
57,57,0.4065251389601064
58,58,0.40672411489728305
59,59,0.4069230908344597
60,60,0.40712206677163637
61,61,0.40732104270881303
62,62,0.4075200186459897
63,63,0.40771899458316635
64,64,0.40791797052034307
65,65,0.4081169464575197
66,66,0.4083159223946964
67,67,0.40851489833187304
68,68,0.4087138742690497
69,69,0.40891285020622636
70,70,0.409111826143403
71,71,0.40931080208057974
72,72,0.4095097780177564
73,73,0.40970875395493306
74,74,0.4099077298921097
75,75,0.4101067058292864
76,76,0.41030568176646304
77,77,0.4105046577036397
78,78,0.4136752786769279
79,79,0.41387425461410454
80,80,0.4140732305512812
81,81,0.41427220648845786
82,82,0.4144711824256345
83,83,0.4146701583628112
84,84,0.41486913429998784
85,85,0.4150681102371645
86,86,0.41526708617434116
87,87,0.42153046043093156
88,88,0.4217294363681082
89,89,0.4219284123052849
90,90,0.4369856134230195
91,91,0.43718458936019616
92,92,0.4373835652973728
93,93,0.4375825412345495
94,94,0.43778151717172614
95,95,0.4379804931089028
96,96,0.43817946904607946
97,97,0.4383784449832561
98,98,0.468899412517501
99,99,0.46909838845467766
