,comuna,dia,value
0,Arica,0,0.9999999999994961
1,Arica,1,0.0
2,Arica,2,0.0
3,Arica,3,0.0
4,Arica,4,0.0
5,Arica,5,0.0
6,Arica,6,0.0
7,Arica,7,0.0
8,Arica,8,0.0
9,Arica,9,0.0
10,Arica,10,0.0
11,Arica,11,0.0
12,Arica,12,0.0
13,Arica,13,0.0
14,Arica,14,0.0
15,Arica,15,0.0
16,Arica,16,0.0
17,Arica,17,0.0
18,Arica,18,0.0
19,Arica,19,0.0
20,Arica,20,0.0
21,Arica,21,0.0
22,Arica,22,0.0
23,Arica,23,0.0
24,Arica,24,0.0
25,Arica,25,0.0
26,Arica,26,0.0
27,Arica,27,0.0
28,Arica,28,0.0
29,Arica,29,0.0
30,Arica,30,0.0
31,Arica,31,0.0
32,Arica,32,0.0
33,Arica,33,0.0
34,Arica,34,0.0
35,Arica,35,0.0
36,Arica,36,0.0
37,Arica,37,0.0
38,Arica,38,0.0
39,Arica,39,0.0
40,Arica,40,0.0
41,Arica,41,0.0
42,Arica,42,0.0
43,Arica,43,0.0
44,Arica,44,0.0
45,Camarones,0,0.9999999999998118
46,Camarones,1,-0.0
47,Camarones,2,-0.0
48,Camarones,3,-0.0
49,Camarones,4,-0.0
50,Camarones,5,-0.0
51,Camarones,6,-0.0
52,Camarones,7,-0.0
53,Camarones,8,-0.0
54,Camarones,9,-0.0
55,Camarones,10,-0.0
56,Camarones,11,-0.0
57,Camarones,12,-0.0
58,Camarones,13,-0.0
59,Camarones,14,-0.0
60,Camarones,15,-0.0
61,Camarones,16,-0.0
62,Camarones,17,-0.0
63,Camarones,18,-0.0
64,Camarones,19,-0.0
65,Camarones,20,-0.0
66,Camarones,21,-0.0
67,Camarones,22,-0.0
68,Camarones,23,-0.0
69,Camarones,24,-0.0
70,Camarones,25,-0.0
71,Camarones,26,-0.0
72,Camarones,27,-0.0
73,Camarones,28,-0.0
74,Camarones,29,-0.0
75,Camarones,30,-0.0
76,Camarones,31,-0.0
77,Camarones,32,-0.0
78,Camarones,33,-0.0
79,Camarones,34,-0.0
80,Camarones,35,-0.0
81,Camarones,36,-0.0
82,Camarones,37,-0.0
83,Camarones,38,-0.0
84,Camarones,39,-0.0
85,Camarones,40,-0.0
86,Camarones,41,-0.0
87,Camarones,42,-0.0
88,Camarones,43,-0.0
89,Camarones,44,-0.0
90,Putre,0,1.0
91,Putre,1,1.0
92,Putre,2,1.0
93,Putre,3,1.0
94,Putre,4,1.0
95,Putre,5,1.0
96,Putre,6,1.0
97,Putre,7,1.0
98,Putre,8,1.0
99,Putre,9,1.0
100,Putre,10,1.0
101,Putre,11,1.0
102,Putre,12,1.0
103,Putre,13,1.0
104,Putre,14,1.0
105,Putre,15,1.0
106,Putre,16,1.0
107,Putre,17,1.0
108,Putre,18,1.0
109,Putre,19,1.0
110,Putre,20,1.0
111,Putre,21,1.0
112,Putre,22,1.0
113,Putre,23,1.0
114,Putre,24,1.0
115,Putre,25,1.0
116,Putre,26,1.0
117,Putre,27,1.0
118,Putre,28,1.0
119,Putre,29,1.0
120,Putre,30,1.0
121,Putre,31,1.0
122,Putre,32,1.0
123,Putre,33,1.0
124,Putre,34,1.0
125,Putre,35,1.0
126,Putre,36,1.0
127,Putre,37,1.0
128,Putre,38,1.0
129,Putre,39,1.0
130,Putre,40,1.0
131,Putre,41,1.0
132,Putre,42,1.0
133,Putre,43,1.0
134,Putre,44,1.0
135,General Lagos,0,1.0
136,General Lagos,1,1.0
137,General Lagos,2,1.0
138,General Lagos,3,1.0
139,General Lagos,4,1.0
140,General Lagos,5,1.0
141,General Lagos,6,1.0
142,General Lagos,7,1.0
143,General Lagos,8,1.0
144,General Lagos,9,1.0
145,General Lagos,10,1.0
146,General Lagos,11,1.0
147,General Lagos,12,1.0
148,General Lagos,13,1.0
149,General Lagos,14,1.0
150,General Lagos,15,1.0
151,General Lagos,16,1.0
152,General Lagos,17,1.0
153,General Lagos,18,1.0
154,General Lagos,19,1.0
155,General Lagos,20,1.0
156,General Lagos,21,1.0
157,General Lagos,22,1.0
158,General Lagos,23,1.0
159,General Lagos,24,1.0
160,General Lagos,25,1.0
161,General Lagos,26,1.0
162,General Lagos,27,1.0
163,General Lagos,28,1.0
164,General Lagos,29,1.0
165,General Lagos,30,1.0
166,General Lagos,31,1.0
167,General Lagos,32,1.0
168,General Lagos,33,1.0
169,General Lagos,34,1.0
170,General Lagos,35,1.0
171,General Lagos,36,1.0
172,General Lagos,37,1.0
173,General Lagos,38,1.0
174,General Lagos,39,1.0
175,General Lagos,40,1.0
176,General Lagos,41,1.0
177,General Lagos,42,1.0
178,General Lagos,43,1.0
179,General Lagos,44,1.0
