,camion,dia,comuna,value
0,0,0,Arica,0.0
1,0,1,Arica,0.0
2,0,2,Arica,0.0
3,0,3,Arica,0.0
4,0,4,Arica,0.0
5,0,5,Arica,0.0
6,0,6,Arica,0.0
7,0,7,Arica,0.0
8,0,8,Arica,0.0
9,0,9,Arica,0.0
10,0,10,Arica,0.0
11,0,11,Arica,0.0
12,0,12,Arica,0.0
13,0,13,Arica,0.0
14,0,14,Arica,0.0
15,0,15,Arica,0.0
16,0,16,Arica,0.0
17,0,17,Arica,0.0
18,0,18,Arica,0.0
19,0,19,Arica,0.0
20,0,20,Arica,0.0
21,0,21,Arica,0.0
22,0,22,Arica,0.0
23,0,23,Arica,0.0
24,0,24,Arica,0.0
25,0,25,Arica,0.0
26,0,26,Arica,0.0
27,0,27,Arica,0.0
28,0,28,Arica,0.0
29,0,29,Arica,0.0
30,0,30,Arica,0.0
31,0,31,Arica,0.0
32,0,32,Arica,0.0
33,0,33,Arica,0.0
34,0,34,Arica,0.0
35,0,35,Arica,0.0
36,0,36,Arica,0.0
37,0,37,Arica,0.0
38,0,38,Arica,0.0
39,0,39,Arica,0.0
40,0,40,Arica,0.0
41,0,41,Arica,0.0
42,0,42,Arica,0.0
43,0,43,Arica,0.0
44,0,44,Arica,0.0
45,0,0,Camarones,1.0
46,0,1,Camarones,-0.0
47,0,2,Camarones,-0.0
48,0,3,Camarones,-0.0
49,0,4,Camarones,-0.0
50,0,5,Camarones,-0.0
51,0,6,Camarones,-0.0
52,0,7,Camarones,-0.0
53,0,8,Camarones,-0.0
54,0,9,Camarones,-0.0
55,0,10,Camarones,-0.0
56,0,11,Camarones,-0.0
57,0,12,Camarones,-0.0
58,0,13,Camarones,-0.0
59,0,14,Camarones,-0.0
60,0,15,Camarones,-0.0
61,0,16,Camarones,-0.0
62,0,17,Camarones,-0.0
63,0,18,Camarones,-0.0
64,0,19,Camarones,-0.0
65,0,20,Camarones,-0.0
66,0,21,Camarones,-0.0
67,0,22,Camarones,-0.0
68,0,23,Camarones,-0.0
69,0,24,Camarones,-0.0
70,0,25,Camarones,-0.0
71,0,26,Camarones,-0.0
72,0,27,Camarones,-0.0
73,0,28,Camarones,-0.0
74,0,29,Camarones,-0.0
75,0,30,Camarones,-0.0
76,0,31,Camarones,-0.0
77,0,32,Camarones,-0.0
78,0,33,Camarones,-0.0
79,0,34,Camarones,-0.0
80,0,35,Camarones,-0.0
81,0,36,Camarones,-0.0
82,0,37,Camarones,-0.0
83,0,38,Camarones,-0.0
84,0,39,Camarones,-0.0
85,0,40,Camarones,-0.0
86,0,41,Camarones,-0.0
87,0,42,Camarones,-0.0
88,0,43,Camarones,-0.0
89,0,44,Camarones,-0.0
90,0,0,Putre,-0.0
91,0,1,Putre,1.0
92,0,2,Putre,1.0
93,0,3,Putre,1.0
94,0,4,Putre,1.0
95,0,5,Putre,1.0
96,0,6,Putre,1.0
97,0,7,Putre,1.0
98,0,8,Putre,1.0
99,0,9,Putre,1.0
100,0,10,Putre,1.0
101,0,11,Putre,1.0
102,0,12,Putre,1.0
103,0,13,Putre,1.0
104,0,14,Putre,1.0
105,0,15,Putre,1.0
106,0,16,Putre,1.0
107,0,17,Putre,1.0
108,0,18,Putre,1.0
109,0,19,Putre,1.0
110,0,20,Putre,1.0
111,0,21,Putre,1.0
112,0,22,Putre,1.0
113,0,23,Putre,1.0
114,0,24,Putre,1.0
115,0,25,Putre,1.0
116,0,26,Putre,1.0
117,0,27,Putre,1.0
118,0,28,Putre,1.0
119,0,29,Putre,1.0
120,0,30,Putre,1.0
121,0,31,Putre,1.0
122,0,32,Putre,1.0
123,0,33,Putre,1.0
124,0,34,Putre,1.0
125,0,35,Putre,1.0
126,0,36,Putre,1.0
127,0,37,Putre,1.0
128,0,38,Putre,1.0
129,0,39,Putre,1.0
130,0,40,Putre,1.0
131,0,41,Putre,1.0
132,0,42,Putre,1.0
133,0,43,Putre,1.0
134,0,44,Putre,1.0
135,0,0,General Lagos,-0.0
136,0,1,General Lagos,-0.0
137,0,2,General Lagos,-0.0
138,0,3,General Lagos,-0.0
139,0,4,General Lagos,-0.0
140,0,5,General Lagos,-0.0
141,0,6,General Lagos,-0.0
142,0,7,General Lagos,-0.0
143,0,8,General Lagos,-0.0
144,0,9,General Lagos,-0.0
145,0,10,General Lagos,-0.0
146,0,11,General Lagos,-0.0
147,0,12,General Lagos,-0.0
148,0,13,General Lagos,-0.0
149,0,14,General Lagos,-0.0
150,0,15,General Lagos,-0.0
151,0,16,General Lagos,-0.0
152,0,17,General Lagos,-0.0
153,0,18,General Lagos,-0.0
154,0,19,General Lagos,-0.0
155,0,20,General Lagos,-0.0
156,0,21,General Lagos,-0.0
157,0,22,General Lagos,-0.0
158,0,23,General Lagos,-0.0
159,0,24,General Lagos,-0.0
160,0,25,General Lagos,-0.0
161,0,26,General Lagos,-0.0
162,0,27,General Lagos,-0.0
163,0,28,General Lagos,-0.0
164,0,29,General Lagos,-0.0
165,0,30,General Lagos,-0.0
166,0,31,General Lagos,-0.0
167,0,32,General Lagos,-0.0
168,0,33,General Lagos,-0.0
169,0,34,General Lagos,-0.0
170,0,35,General Lagos,-0.0
171,0,36,General Lagos,-0.0
172,0,37,General Lagos,-0.0
173,0,38,General Lagos,-0.0
174,0,39,General Lagos,-0.0
175,0,40,General Lagos,-0.0
176,0,41,General Lagos,-0.0
177,0,42,General Lagos,-0.0
178,0,43,General Lagos,-0.0
179,0,44,General Lagos,-0.0
180,1,0,Arica,0.0
181,1,1,Arica,0.0
182,1,2,Arica,0.0
183,1,3,Arica,0.0
184,1,4,Arica,0.0
185,1,5,Arica,0.0
186,1,6,Arica,0.0
187,1,7,Arica,0.0
188,1,8,Arica,0.0
189,1,9,Arica,0.0
