,dia,comuna,value
0,0,Arica,0.0
1,1,Arica,0.0
2,2,Arica,0.0
3,3,Arica,0.0
4,4,Arica,0.0
5,5,Arica,0.0
6,6,Arica,0.0
7,7,Arica,0.0
8,8,Arica,0.0
9,9,Arica,0.0
10,10,Arica,0.0
11,11,Arica,0.0
12,12,Arica,0.0
13,13,Arica,0.0
14,14,Arica,0.0
15,15,Arica,0.0
16,16,Arica,0.0
17,17,Arica,0.0
18,18,Arica,0.0
19,19,Arica,0.0
20,20,Arica,0.0
21,21,Arica,0.0
22,22,Arica,0.0
23,23,Arica,0.0
24,24,Arica,0.0
25,25,Arica,0.0
26,26,Arica,0.0
27,27,Arica,0.0
28,28,Arica,0.0
29,29,Arica,0.0
30,30,Arica,0.0
31,31,Arica,0.0
32,32,Arica,0.0
33,33,Arica,0.0
34,34,Arica,0.0
35,35,Arica,0.0
36,36,Arica,0.0
37,37,Arica,0.0
38,38,Arica,0.0
39,39,Arica,0.0
40,40,Arica,0.0
41,41,Arica,0.0
42,42,Arica,0.0
43,43,Arica,0.0
44,44,Arica,0.0
45,45,Arica,0.0
46,0,Camarones,1092.0
47,1,Camarones,0.0
48,2,Camarones,0.0
49,3,Camarones,0.0
50,4,Camarones,0.0
51,5,Camarones,0.0
52,6,Camarones,0.0
53,7,Camarones,0.0
54,8,Camarones,0.0
55,9,Camarones,0.0
56,10,Camarones,0.0
57,11,Camarones,0.0
58,12,Camarones,0.0
59,13,Camarones,0.0
60,14,Camarones,0.0
61,15,Camarones,0.0
62,16,Camarones,0.0
63,17,Camarones,0.0
64,18,Camarones,0.0
65,19,Camarones,0.0
66,20,Camarones,0.0
67,21,Camarones,0.0
68,22,Camarones,0.0
69,23,Camarones,0.0
70,24,Camarones,0.0
71,25,Camarones,0.0
72,26,Camarones,0.0
73,27,Camarones,0.0
74,28,Camarones,0.0
75,29,Camarones,0.0
76,30,Camarones,0.0
77,31,Camarones,0.0
78,32,Camarones,0.0
79,33,Camarones,0.0
80,34,Camarones,0.0
81,35,Camarones,0.0
82,36,Camarones,0.0
83,37,Camarones,0.0
84,38,Camarones,0.0
85,39,Camarones,0.0
86,40,Camarones,0.0
87,41,Camarones,0.0
88,42,Camarones,0.0
89,43,Camarones,0.0
90,44,Camarones,0.0
91,45,Camarones,0.0
92,0,Putre,0.0
93,1,Putre,0.0
94,2,Putre,0.0
95,3,Putre,0.0
96,4,Putre,0.0
97,5,Putre,0.0
98,6,Putre,0.0
99,7,Putre,0.0
100,8,Putre,0.0
101,9,Putre,0.0
102,10,Putre,0.0
103,11,Putre,0.0
104,12,Putre,0.0
105,13,Putre,0.0
106,14,Putre,0.0
107,15,Putre,0.0
108,16,Putre,0.0
109,17,Putre,0.0
110,18,Putre,0.0
111,19,Putre,0.0
112,20,Putre,0.0
113,21,Putre,0.0
114,22,Putre,0.0
115,23,Putre,0.0
116,24,Putre,0.0
117,25,Putre,0.0
118,26,Putre,0.0
119,27,Putre,0.0
120,28,Putre,0.0
121,29,Putre,0.0
122,30,Putre,0.0
123,31,Putre,0.0
124,32,Putre,0.0
125,33,Putre,0.0
126,34,Putre,0.0
127,35,Putre,0.0
128,36,Putre,0.0
129,37,Putre,0.0
130,38,Putre,0.0
131,39,Putre,0.0
132,40,Putre,0.0
133,41,Putre,0.0
134,42,Putre,0.0
135,43,Putre,0.0
136,44,Putre,0.0
137,45,Putre,81.0
138,0,General Lagos,0.0
139,1,General Lagos,546.0
140,2,General Lagos,0.0
141,3,General Lagos,0.0
142,4,General Lagos,0.0
143,5,General Lagos,0.0
144,6,General Lagos,0.0
145,7,General Lagos,0.0
146,8,General Lagos,0.0
147,9,General Lagos,0.0
148,10,General Lagos,0.0
149,11,General Lagos,0.0
150,12,General Lagos,0.0
151,13,General Lagos,0.0
152,14,General Lagos,0.0
153,15,General Lagos,0.0
154,16,General Lagos,0.0
155,17,General Lagos,0.0
156,18,General Lagos,0.0
157,19,General Lagos,0.0
158,20,General Lagos,0.0
159,21,General Lagos,0.0
160,22,General Lagos,0.0
161,23,General Lagos,0.0
162,24,General Lagos,0.0
163,25,General Lagos,0.0
164,26,General Lagos,0.0
165,27,General Lagos,0.0
166,28,General Lagos,0.0
167,29,General Lagos,0.0
168,30,General Lagos,0.0
169,31,General Lagos,0.0
170,32,General Lagos,0.0
171,33,General Lagos,0.0
172,34,General Lagos,0.0
173,35,General Lagos,0.0
174,36,General Lagos,0.0
175,37,General Lagos,0.0
176,38,General Lagos,0.0
177,39,General Lagos,0.0
178,40,General Lagos,0.0
179,41,General Lagos,0.0
180,42,General Lagos,0.0
181,43,General Lagos,0.0
182,44,General Lagos,0.0
183,45,General Lagos,0.0
