,dia,comuna,value
0,0,Arica,0.0
1,1,Arica,0.0
2,2,Arica,0.0
3,3,Arica,0.0
4,4,Arica,0.0
5,5,Arica,0.0
6,6,Arica,0.0
7,7,Arica,0.0
8,8,Arica,0.0
9,9,Arica,0.0
10,10,Arica,0.0
11,11,Arica,0.0
12,12,Arica,0.0
13,13,Arica,0.0
14,14,Arica,0.0
15,15,Arica,0.0
16,16,Arica,0.0
17,17,Arica,0.0
18,18,Arica,0.0
19,19,Arica,0.0
20,20,Arica,0.0
21,21,Arica,0.0
22,22,Arica,0.0
23,23,Arica,0.0
24,24,Arica,0.0
25,25,Arica,0.0
26,26,Arica,0.0
27,27,Arica,0.0
28,28,Arica,0.0
29,29,Arica,0.0
30,30,Arica,0.0
31,31,Arica,0.0
32,32,Arica,0.0
33,33,Arica,0.0
34,34,Arica,0.0
35,35,Arica,0.0
36,36,Arica,0.0
37,37,Arica,0.0
38,38,Arica,0.0
39,39,Arica,0.0
40,40,Arica,0.0
41,41,Arica,0.0
42,42,Arica,0.0
43,43,Arica,0.0
44,44,Arica,0.0
45,0,Camarones,503.0
46,1,Camarones,-0.0
47,2,Camarones,-0.0
48,3,Camarones,-0.0
49,4,Camarones,-0.0
50,5,Camarones,-0.0
51,6,Camarones,-0.0
52,7,Camarones,-0.0
53,8,Camarones,-0.0
54,9,Camarones,-0.0
55,10,Camarones,-0.0
56,11,Camarones,-0.0
57,12,Camarones,-0.0
58,13,Camarones,-0.0
59,14,Camarones,-0.0
60,15,Camarones,-0.0
61,16,Camarones,-0.0
62,17,Camarones,-0.0
63,18,Camarones,-0.0
64,19,Camarones,-0.0
65,20,Camarones,-0.0
66,21,Camarones,-0.0
67,22,Camarones,-0.0
68,23,Camarones,-0.0
69,24,Camarones,-0.0
70,25,Camarones,-0.0
71,26,Camarones,-0.0
72,27,Camarones,-0.0
73,28,Camarones,-0.0
74,29,Camarones,-0.0
75,30,Camarones,-0.0
76,31,Camarones,-0.0
77,32,Camarones,-0.0
78,33,Camarones,-0.0
79,34,Camarones,-0.0
80,35,Camarones,-0.0
81,36,Camarones,-0.0
82,37,Camarones,-0.0
83,38,Camarones,-0.0
84,39,Camarones,-0.0
85,40,Camarones,-0.0
86,41,Camarones,-0.0
87,42,Camarones,-0.0
88,43,Camarones,-0.0
89,44,Camarones,-0.0
90,0,Putre,682.0
91,1,Putre,-0.0
92,2,Putre,-0.0
93,3,Putre,-0.0
94,4,Putre,-0.0
95,5,Putre,-0.0
96,6,Putre,-0.0
97,7,Putre,-0.0
98,8,Putre,-0.0
99,9,Putre,-0.0
100,10,Putre,-0.0
101,11,Putre,-0.0
102,12,Putre,-0.0
103,13,Putre,-0.0
104,14,Putre,-0.0
105,15,Putre,-0.0
106,16,Putre,-0.0
107,17,Putre,-0.0
108,18,Putre,-0.0
109,19,Putre,-0.0
110,20,Putre,-0.0
111,21,Putre,-0.0
112,22,Putre,-0.0
113,23,Putre,-0.0
114,24,Putre,-0.0
115,25,Putre,-0.0
116,26,Putre,-0.0
117,27,Putre,-0.0
118,28,Putre,-0.0
119,29,Putre,-0.0
120,30,Putre,-0.0
121,31,Putre,-0.0
122,32,Putre,-0.0
123,33,Putre,-0.0
124,34,Putre,-0.0
125,35,Putre,-0.0
126,36,Putre,-0.0
127,37,Putre,-0.0
128,38,Putre,-0.0
129,39,Putre,-0.0
130,40,Putre,-0.0
131,41,Putre,-0.0
132,42,Putre,-0.0
133,43,Putre,-0.0
134,44,Putre,-0.0
135,0,General Lagos,-0.0
136,1,General Lagos,-0.0
137,2,General Lagos,-0.0
138,3,General Lagos,-0.0
139,4,General Lagos,-0.0
140,5,General Lagos,-0.0
141,6,General Lagos,-0.0
142,7,General Lagos,-0.0
143,8,General Lagos,-0.0
144,9,General Lagos,-0.0
145,10,General Lagos,-0.0
146,11,General Lagos,-0.0
147,12,General Lagos,-0.0
148,13,General Lagos,-0.0
149,14,General Lagos,-0.0
150,15,General Lagos,-0.0
151,16,General Lagos,-0.0
152,17,General Lagos,-0.0
153,18,General Lagos,-0.0
154,19,General Lagos,-0.0
155,20,General Lagos,-0.0
156,21,General Lagos,-0.0
157,22,General Lagos,-0.0
158,23,General Lagos,-0.0
159,24,General Lagos,-0.0
160,25,General Lagos,-0.0
161,26,General Lagos,-0.0
162,27,General Lagos,-0.0
163,28,General Lagos,-0.0
164,29,General Lagos,-0.0
165,30,General Lagos,-0.0
166,31,General Lagos,-0.0
167,32,General Lagos,-0.0
168,33,General Lagos,-0.0
169,34,General Lagos,-0.0
170,35,General Lagos,-0.0
171,36,General Lagos,-0.0
172,37,General Lagos,-0.0
173,38,General Lagos,-0.0
174,39,General Lagos,-0.0
175,40,General Lagos,-0.0
176,41,General Lagos,-0.0
177,42,General Lagos,-0.0
178,43,General Lagos,-0.0
179,44,General Lagos,-0.0
