,comuna,dia,value
253,Putre,53,1.0
254,Putre,54,1.0
255,Putre,55,1.0
256,Putre,56,1.0
257,Putre,57,1.0
258,Putre,58,1.0
259,Putre,59,1.0
260,Putre,60,1.0
261,Putre,61,1.0
262,Putre,62,1.0
263,Putre,63,1.0
264,Putre,64,1.0
265,Putre,65,1.0
266,Putre,66,1.0
267,Putre,67,1.0
268,Putre,68,1.0
269,Putre,69,1.0
270,Putre,70,1.0
271,Putre,71,1.0
272,Putre,72,1.0
273,Putre,73,1.0
274,Putre,74,1.0
275,Putre,75,1.0
276,Putre,76,1.0
277,Putre,77,1.0
278,Putre,78,1.0
279,Putre,79,1.0
280,Putre,80,1.0
281,Putre,81,1.0
282,Putre,82,1.0
283,Putre,83,1.0
284,Putre,84,1.0
285,Putre,85,1.0
286,Putre,86,1.0
287,Putre,87,1.0
288,Putre,88,1.0
289,Putre,89,1.0
290,Putre,90,-0.0
291,Putre,91,-0.0
292,Putre,92,-0.0
293,Putre,93,-0.0
294,Putre,94,-0.0
295,Putre,95,-0.0
296,Putre,96,-0.0
297,Putre,97,-0.0
298,Putre,98,1.0
299,Putre,99,1.0
300,General Lagos,0,1.0
301,General Lagos,1,1.0
302,General Lagos,2,1.0
303,General Lagos,3,-0.0
304,General Lagos,4,-0.0
305,General Lagos,5,-0.0
306,General Lagos,6,-0.0
307,General Lagos,7,-0.0
308,General Lagos,8,-0.0
309,General Lagos,9,-0.0
310,General Lagos,10,-0.0
311,General Lagos,11,-0.0
312,General Lagos,12,-0.0
313,General Lagos,13,-0.0
314,General Lagos,14,-0.0
315,General Lagos,15,-0.0
316,General Lagos,16,-0.0
317,General Lagos,17,-0.0
318,General Lagos,18,-0.0
319,General Lagos,19,-0.0
320,General Lagos,20,-0.0
321,General Lagos,21,-0.0
322,General Lagos,22,-0.0
323,General Lagos,23,-0.0
324,General Lagos,24,-0.0
325,General Lagos,25,-0.0
326,General Lagos,26,-0.0
327,General Lagos,27,-0.0
328,General Lagos,28,-0.0
329,General Lagos,29,-0.0
330,General Lagos,30,-0.0
331,General Lagos,31,-0.0
332,General Lagos,32,-0.0
333,General Lagos,33,-0.0
334,General Lagos,34,-0.0
335,General Lagos,35,-0.0
336,General Lagos,36,-0.0
337,General Lagos,37,-0.0
338,General Lagos,38,-0.0
339,General Lagos,39,-0.0
340,General Lagos,40,-0.0
341,General Lagos,41,-0.0
342,General Lagos,42,-0.0
343,General Lagos,43,-0.0
344,General Lagos,44,-0.0
345,General Lagos,45,-0.0
346,General Lagos,46,-0.0
347,General Lagos,47,-0.0
348,General Lagos,48,-0.0
349,General Lagos,49,-0.0
350,General Lagos,50,-0.0
351,General Lagos,51,-0.0
352,General Lagos,52,-0.0
353,General Lagos,53,-0.0
354,General Lagos,54,-0.0
355,General Lagos,55,-0.0
356,General Lagos,56,0.0
357,General Lagos,57,-0.0
358,General Lagos,58,-0.0
359,General Lagos,59,-0.0
360,General Lagos,60,-0.0
361,General Lagos,61,-0.0
362,General Lagos,62,-0.0
363,General Lagos,63,-0.0
364,General Lagos,64,-0.0
365,General Lagos,65,-0.0
366,General Lagos,66,-0.0
367,General Lagos,67,-0.0
368,General Lagos,68,-0.0
369,General Lagos,69,-0.0
370,General Lagos,70,-0.0
371,General Lagos,71,-0.0
372,General Lagos,72,-0.0
373,General Lagos,73,-0.0
374,General Lagos,74,-0.0
375,General Lagos,75,-0.0
376,General Lagos,76,-0.0
377,General Lagos,77,-0.0
378,General Lagos,78,-0.0
379,General Lagos,79,-0.0
380,General Lagos,80,-0.0
381,General Lagos,81,-0.0
382,General Lagos,82,-0.0
383,General Lagos,83,-0.0
384,General Lagos,84,-0.0
385,General Lagos,85,-0.0
386,General Lagos,86,-0.0
387,General Lagos,87,-0.0
388,General Lagos,88,-0.0
389,General Lagos,89,-0.0
390,General Lagos,90,-0.0
391,General Lagos,91,-0.0
392,General Lagos,92,-0.0
393,General Lagos,93,-0.0
394,General Lagos,94,-0.0
395,General Lagos,95,-0.0
396,General Lagos,96,-0.0
397,General Lagos,97,-0.0
398,General Lagos,98,1.0
399,General Lagos,99,1.0
