,dia,value
0,0,0.19159980860498993
1,1,0.26751749492312116
2,2,0.347858872203874
3,3,0.34785887220387535
4,4,0.34785887220387707
5,5,0.34785887220387945
6,6,0.34785887220388223
7,7,0.3478588722038851
8,8,0.3478588722038889
9,9,0.34785887220389367
10,10,0.34785887220389916
11,11,0.3478588722039052
12,12,0.34785887220391076
13,13,0.34785887220391654
14,14,0.34785887220392175
15,15,0.3478588722039305
16,16,0.3478588722039406
17,17,0.34785887220394807
18,18,0.34785887220395695
19,19,0.3478588722039685
20,20,0.34785887220398076
21,21,0.3478588722039812
22,22,0.34785887220398237
23,23,0.34785887220398404
24,24,0.34785887220398654
25,25,0.3478588722039892
26,26,0.347858872203992
27,27,0.3478588722039958
28,28,0.34785887220400064
29,29,0.3478588722040062
30,30,0.347858872204012
31,31,0.3478588722040178
32,32,0.3478588722040234
33,33,0.3478588722040288
34,34,0.34785887220403755
35,35,0.3478588722040479
36,36,0.3478588722040551
37,37,0.347858872204064
38,38,0.3478588722040755
39,39,0.3478588722040884
40,40,0.3478588722040883
41,41,0.3478588722040894
42,42,0.3478588722040911
43,43,0.34785887220409356
44,44,0.3478588722040963
45,45,0.347858872204099
